season,team,games,points_for,points_against,ppg,oppg,net_ppg
2022,DET,17,453,427,26.647058823529413,25.11764705882353,1.529411764705884
2025,GB,18,418,391,23.22222222222222,21.72222222222222,1.5
2023,LAR,18,427,401,23.72222222222222,22.27777777777778,1.4444444444444429
2025,CHI,19,489,462,25.73684210526316,24.31578947368421,1.421052631578949
2017,DAL,16,354,332,22.125,20.75,1.375
2016,BAL,16,343,321,21.4375,20.0625,1.375
2019,PHI,17,394,371,23.176470588235293,21.823529411764707,1.352941176470587
2016,BUF,16,399,378,24.9375,23.625,1.3125
2016,MIN,16,327,307,20.4375,19.1875,1.25
2024,ARI,17,400,379,23.529411764705884,22.294117647058822,1.2352941176470615
2018,MIN,16,360,341,22.5,21.3125,1.1875
2016,IND,16,411,392,25.6875,24.5,1.1875
2016,LV,17,430,412,25.294117647058822,24.235294117647054,1.0588235294117645
2024,PIT,18,394,375,21.88888888888889,20.83333333333333,1.0555555555555571
2022,NE,17,364,347,21.41176470588235,20.41176470588235,1.0
2016,NO,16,469,454,29.3125,28.375,0.9375
2021,LAC,17,474,459,27.88235294117647,27.0,0.882352941176471
2025,LAC,18,371,356,20.61111111111111,19.77777777777778,0.8333333333333321
2016,WAS,16,396,383,24.75,23.9375,0.8125
2018,PHI,18,397,383,22.05555555555556,21.27777777777778,0.7777777777777786
2021,DEN,17,335,322,19.705882352941178,18.94117647058824,0.764705882352942
2025,MIN,17,344,333,20.235294117647054,19.58823529411765,0.6470588235294095
2016,CIN,16,325,315,20.3125,19.6875,0.625
2024,HOU,19,418,407,22.0,21.42105263157895,0.5789473684210513
2019,TB,16,458,449,28.625,28.0625,0.5625
2019,SEA,18,445,435,24.72222222222222,24.166666666666668,0.5555555555555536
2018,DAL,18,385,376,21.38888888888889,20.88888888888889,0.5
2018,TEN,16,310,303,19.375,18.9375,0.4375
2024,SEA,17,375,368,22.058823529411764,21.647058823529413,0.4117647058823515
2023,JAX,17,377,371,22.176470588235293,21.823529411764707,0.352941176470587
2022,LAC,18,421,415,23.38888888888889,23.05555555555556,0.3333333333333321
2016,TEN,16,381,378,23.8125,23.625,0.1875
2023,CLE,18,410,407,22.77777777777778,22.61111111111111,0.1666666666666678
2023,LV,17,332,331,19.529411764705884,19.47058823529412,0.058823529411768
2016,NYG,17,323,322,19.0,18.94117647058824,0.0588235294117645
2022,GB,17,370,371,21.764705882352946,21.823529411764707,-0.0588235294117645
2021,MIN,17,425,426,25.0,25.058823529411764,-0.0588235294117645
